"scopeType","capabilityOrEngine","version","primaryCapability","current15EnginePlatform","SonarQubeCommunityBuild","SonarQubePaidOrAdvanced","replacementDecision","plainReason"
"engine","Gitleaks","8.30.1","密钥与凭据泄露","完整","部分重合","Enterprise 可配置自定义密钥模式","保留","Sonar 文本分析能发现一部分密钥，但不等于 Gitleaks 的规则生态、历史治理和独立证据"
"engine","Semgrep","1.170.0","可编写 YAML 的源码模式与安全规则","完整","部分重合","部分增强","保留","Sonar 有大量 Java 语义规则，但不能原样承接任意 Semgrep YAML 规则"
"engine","PMD","7.26.0","源码正确性、坏味道与可维护性","完整","大范围重合","大范围重合","Benchmark 后可缩减","这是最适合与 Sonar 做逐规则对照的一组，但两边规则编号和语义并非一一对应"
"engine","PMD CPD","7.26.0","复制粘贴代码检测","完整","强重合","强重合","优先评估停用","Sonar 原生提供重复块、重复行和重复率，统一历史治理时通常比双跑更有价值"
"engine","Checkstyle","12.3.1","团队代码格式与规范","完整","部分重合","部分重合","保留或缩成团队基线","Sonar way 不等于团队格式规范，120 字符、花括号和 import 顺序仍适合由 Checkstyle 确定性执行"
"engine","Trivy Repository","0.73.0","仓库密钥、配置与 IaC 风险","完整","部分重合","部分增强","保留","Community 有文本和部分 IaC 分析，但覆盖范围、更新节奏和规则模型不等价"
"engine","SpotBugs","4.9.3","Java 字节码缺陷与正确性","完整","部分重合","部分重合","保留","SpotBugs 在编译后字节码层工作，SonarJava 的源码语义分析不能证明覆盖全部字节码检测器"
"engine","FindSecBugs","1.14.0","Java 字节码安全缺陷","完整","部分重合","注入检测与 Advanced SAST 可增强","保留到真值集证明可替代","安全规则有交集，但查询模型、框架建模和证据链不同"
"engine","Dependency-Check","12.2.2","基于 NVD 的依赖漏洞","完整","无正式 SCA","Enterprise Advanced Security 提供 SCA","Community 必须保留；付费版也先并行评测","漏洞库、匹配算法、许可政策和适用性证据不同，不能只对比 CVE 总数"
"engine","OSV-Scanner","2.3.8","基于 OSV 的开源依赖漏洞","完整","无正式 SCA","Enterprise Advanced Security 提供 SCA","Community 必须保留；付费版也先并行评测","OSV 是独立数据来源，可对 NVD/商业库形成交叉验证"
"engine","Maven Dependency Analysis","3.9.0","已使用未声明、已声明未使用依赖","完整","无等价治理","无明确等价能力","保留","这属于 Maven 构建模型治理，不是一般源码规则"
"engine","Maven Enforcer","3.6.2","依赖收敛与构建约束","完整","无等价治理","无明确等价能力","保留","它执行的是 Maven reactor 的构建政策，Sonar Quality Gate 不能替代 Maven Enforcer"
"engine","CycloneDX","2.9.3","生成 CycloneDX SBOM","完整","无正式 SBOM 生成能力","Advanced Security 可提供 SBOM/依赖能力","保留或以正式导出实测后再决定","SBOM 是资产清单，不是普通问题列表；格式、组件关系和交付物必须单独验收"
"engine","Trivy Artifact","0.73.0","基于 SBOM/制品的漏洞匹配","完整","无正式 SCA","Enterprise Advanced Security 提供 SCA","Community 必须保留；付费版先并行评测","它从构建制品和 SBOM 看风险，输入层次不同于源码分析"
"engine","CodeQL","2.26.2 + Java Queries 1.11.7","深层语义与数据流安全查询","完整","无等价深度安全引擎承诺","Advanced SAST 可覆盖部分同类风险","保留","即便付费 Sonar 能发现同类漏洞，也不代表支持 CodeQL 查询包、查询扩展和同等 code flow"
"platform","ZIP 上传","当前 Web API","一次性代码包审计","原生支持","不原生支持","不原生支持","由当前平台负责","SonarScanner 需要先有本地工作区；接收、校验、解压 ZIP 必须由外层服务完成"
"platform","SVN 地址","SVNKit 1.10.13","取当前或固定 revision 快照","原生支持 Web 接口","分析已检出的 SVN 工作副本并提供 blame","同 Community，另有分支能力但 SVN 没有 Git PR 模型","由当前平台取代码，Sonar 可作为后续分析器","Sonar 不是 SVN 下载服务"
"platform","Git 分支与 Pull Request","不属于 V1 原生输入","长期仓库和提交治理","需扩展 intake/baseline","Community 仅主分支，无 PR 分析","SonarQube Server 支持分支与 PR","Git 日常治理优先使用付费 Sonar 或扩展当前平台","这是 Sonar 相比一次性扫描器最重要的产品优势"
"platform","历史趋势与新代码门禁","当前无数据库","只管新代码、看趋势","弱","强，但 Community 只围绕主分支","强，含分支/PR与更多管理能力","Sonar 负责","长期历史是 Sonar 的核心，不应强行在无数据库工具里重复建设"
"platform","统一可下载审计包","HTML/JSON/SARIF/ZIP","面向一次性审计交付","强","Community 主要是 UI/API，无完整审计 ZIP/PDF","Enterprise 有 PDF/监管报告但格式和原始证据仍不同","当前平台负责","领导汇报、留档和离线交付需要独立报告层"
"platform","规则白名单与误报治理","fingerprint/suppression/expiry","规则、路径、指纹和到期复核","强","Quality Profile、路径排除、Accepted/False Positive","同 Community 并有更多治理能力","两边各自治理并建立映射","把外部 issue 导入 Sonar 不会反向修改外部工具规则或同步其白名单"
"platform","AI/MCP","可由外层 AI 复核","查询、解释和治理辅助","待接入","官方 MCP 可连接 Community","MCP/AI CodeFix/Vortex 等按版本和授权增强","MCP 只做辅助，不替代扫描","AI 可读报告、解释规则、整理问题；确定性扫描仍由扫描器完成"
