key,name,activeInSonarWay,triggeredInCurrentProject,currentIssueCount,status,legacyType,legacySeverity,scope,qualityImpacts,systemTags,hasParameters,isTemplate
java:NoSonar,"Track uses of ""NOSONAR"" comments",False,False,0,READY,CODE_SMELL,MAJOR,ALL,MAINTAINABILITY:MEDIUM,bad-practice,False,False
java:S100,Method names should comply with a naming convention,True,False,0,READY,CODE_SMELL,MINOR,MAIN,MAINTAINABILITY:LOW,convention,True,False
java:S101,Class names should comply with a naming convention,True,False,0,READY,CODE_SMELL,MINOR,MAIN,MAINTAINABILITY:LOW,convention,True,False
java:S103,Lines should not be too long,False,False,0,READY,CODE_SMELL,MAJOR,MAIN,MAINTAINABILITY:MEDIUM,convention,True,False
java:S104,Files should not have too many lines of code,False,False,0,READY,CODE_SMELL,MAJOR,MAIN,MAINTAINABILITY:MEDIUM,brain-overload,True,False
java:S105,Tabulation characters should not be used,False,False,0,READY,CODE_SMELL,MINOR,MAIN,MAINTAINABILITY:LOW,convention,False,False
java:S106,Standard outputs should not be used directly to log anything,True,False,0,READY,CODE_SMELL,MAJOR,MAIN,MAINTAINABILITY:MEDIUM,bad-practice;cert,False,False
java:S1065,Unused labels should be removed,True,False,0,READY,CODE_SMELL,MAJOR,MAIN,MAINTAINABILITY:MEDIUM,cert;unused,False,False
java:S1066,"Mergeable ""if"" statements should be combined",True,False,0,READY,CODE_SMELL,MAJOR,ALL,MAINTAINABILITY:MEDIUM,clumsy,False,False
java:S1067,Expressions should not be too complex,False,False,0,READY,CODE_SMELL,CRITICAL,MAIN,MAINTAINABILITY:HIGH,brain-overload,True,False
java:S1068,"Unused ""private"" fields should be removed",True,True,1,READY,CODE_SMELL,MAJOR,ALL,MAINTAINABILITY:MEDIUM,unused,True,False
java:S107,Methods should not have too many parameters,True,True,6,READY,CODE_SMELL,MAJOR,MAIN,MAINTAINABILITY:MEDIUM,brain-overload,True,False
java:S1075,URIs should not be hardcoded,True,False,0,READY,CODE_SMELL,MINOR,MAIN,MAINTAINABILITY:LOW,android;cert,False,False
java:S108,Nested blocks of code should not be left empty,True,False,0,READY,CODE_SMELL,MAJOR,ALL,MAINTAINABILITY:MEDIUM,suspicious,False,False
java:S109,Magic numbers should not be used,False,False,0,READY,CODE_SMELL,MAJOR,MAIN,MAINTAINABILITY:MEDIUM,brain-overload,True,False
java:S110,Inheritance tree of classes should not be too deep,True,False,0,READY,CODE_SMELL,MAJOR,MAIN,MAINTAINABILITY:MEDIUM,,True,False
java:S1104,Class variable fields should not have public accessibility,False,False,0,READY,CODE_SMELL,MINOR,MAIN,MAINTAINABILITY:LOW,cwe,False,False
java:S1105,An open curly brace should be located at the end of a line,False,False,0,READY,CODE_SMELL,MINOR,MAIN,MAINTAINABILITY:LOW,convention,False,False
java:S1106,An open curly brace should be located at the beginning of a line,False,False,0,READY,CODE_SMELL,MINOR,MAIN,MAINTAINABILITY:LOW,convention,False,False
java:S1107,"Close curly brace and the next ""else"", ""catch"" and ""finally"" keywords should be located on the same line",False,False,0,READY,CODE_SMELL,MINOR,MAIN,MAINTAINABILITY:LOW,convention,False,False
java:S1108,"Close curly brace and the next ""else"", ""catch"" and ""finally"" keywords should be on two different lines",False,False,0,READY,CODE_SMELL,MINOR,MAIN,MAINTAINABILITY:LOW,convention,False,False
