"capability","CommunityBuild","SonarQubeServer","EnterpriseOrAdvancedSecurity","DataCenterOrSpecial","decisionNote","officialSource"
"主分支分析","支持","支持","支持","支持","Community 可用于长期主分支质量趋势","https://docs.sonarsource.com/sonarqube-community-build/feature-comparison-table.md"
"非主分支分析","不支持，仅主分支","支持","支持","支持","要管理真实 Git 分支，不能把 Community 当作完整替代","https://docs.sonarsource.com/sonarqube-community-build/feature-comparison-table.md"
"Pull Request 分析与合并门禁","不支持","支持","支持","支持","用户关心的按提交/PR治理需要 SonarQube Server，而不是 Community Build","https://docs.sonarsource.com/sonarqube-community-build/feature-comparison-table.md"
"自定义 Quality Profile","支持","支持","支持","支持","可以复制 Sonar way、启停规则和调整参数","https://docs.sonarsource.com/sonarqube-community-build/feature-comparison-table.md"
"自定义 Quality Gate","支持","支持","支持","支持","Gate 是团队政策，不代表问题天然准确","https://docs.sonarsource.com/sonarqube-community-build/feature-comparison-table.md"
"架构分析","不支持","支持","支持","支持","不能用 Community 覆盖架构治理","https://docs.sonarsource.com/sonarqube-community-build/feature-comparison-table.md"
"注入漏洞检测","官方矩阵未承诺","支持","支持并可做安全引擎自定义","支持","不要把 Community 中 VULNERABILITY 类型规则数等同于深层污点分析能力","https://docs.sonarsource.com/sonarqube-community-build/feature-comparison-table.md"
"自定义密钥模式","不支持","基础版未注明","Enterprise 起","支持","Gitleaks 在当前体系仍有独立价值","https://docs.sonarsource.com/sonarqube-community-build/feature-comparison-table.md"
"SCA 依赖漏洞","不支持","基础版不支持","Enterprise + Advanced Security","支持","Community 不能替代 Dependency-Check、OSV、Trivy Artifact","https://docs.sonarsource.com/sonarqube-community-build/feature-comparison-table.md"
"Advanced SAST","不支持","基础版不支持","Enterprise + Advanced Security","支持","可以评估是否减少 FindSecBugs/CodeQL，但必须用独立真值集验证","https://docs.sonarsource.com/sonarqube-community-build/feature-comparison-table.md"
"AI Code Assurance","不支持","支持","支持","支持","这是 AI 代码的标签与门禁，不是另一个扫描器","https://docs.sonarsource.com/sonarqube-community-build/feature-comparison-table.md"
"AI CodeFix","不支持","支持范围以当前文档/许可为准","Enterprise 文档明确支持","支持","它给修复建议，不提高检测本身的真实性","https://docs.sonarsource.com/sonarqube-server/2026.1/instance-administration/ai-features/enable-ai-codefix"
"官方 MCP","可自行运行官方开源仓库连接","可自行运行；官方托管能力按版本","更多工具受版本、版次和 entitlement 控制","可部署多用户 HTTPS MCP","MCP 是 API/IDE/AI 桥梁，不是上传 ZIP 的扫描入口","https://github.com/SonarSource/sonarqube-mcp-server"
"项目 PDF/监管报告","不支持","基础版不支持","Enterprise 起","支持","Community 若要下载报告需要基于 Web API 自建导出","https://docs.sonarsource.com/sonarqube-community-build/feature-comparison-table.md"
"Portfolio/安全管理报告","不支持","基础版不支持","Enterprise 起","支持","管理层跨项目视图是付费版价值之一","https://docs.sonarsource.com/sonarqube-community-build/feature-comparison-table.md"
"Web API 与 Webhook","支持","支持","支持","支持","适合由现有平台或 CI 查询结果、等待异步任务和接收完成通知","https://docs.sonarsource.com/sonarqube-community-build/extension-guide/web-api"
"高可用和水平扩展","不支持 Data Center 形态","单实例为主","Enterprise 可增加 Compute Engine workers","Data Center 提供集群/高可用","并发首先发生在 CI 构建节点；大量项目再评估 CE workers 或 DCE","https://docs.sonarsource.com/sonarqube-server/server-update-and-maintenance/data-center-edition/improving-performance"
"外部数据库","生产必须","生产必须","生产必须","生产必须","Community 生产不能继续使用内置 H2；应使用受支持 PostgreSQL 等数据库","https://docs.sonarsource.com/sonarqube-community-build/server-installation/installing-the-database"
"定价","免费使用但仍受组件许可约束","按最大 LOC 年度订阅、需询价","Advanced Security/Enterprise 需询价","需询价","不在报告中编造具体价格，PoC 后按实际 LOC 向销售询价","https://www.sonarsource.com/plans-and-pricing/sonarqube/"
